País,sexo,nivel_laboral,año,prom_ganancias,moneda,note_source.label
Bulgaria,Total,Técnicos y profesionales de nivel medio,2014,3.03,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Total,Personal de apoyo administrativo,2014,2.0,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Total,Trabajadores de los servicios y vendedores de comercios y mercados,2014,1.44,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Total,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",2014,4.29,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Total,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,2.05,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Total,Operadores de instalaciones y máquinas y ensambladores,2014,1.83,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Total,Ocupaciones elementales,2014,1.35,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Hombres,Total,2014,2.52,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Hombres,Directores y gerentes,2014,6.05,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Hombres,Profesionales científicos e intelectuales,2014,4.45,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Hombres,Técnicos y profesionales de nivel medio,2014,3.23,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Hombres,Personal de apoyo administrativo,2014,2.16,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Hombres,Trabajadores de los servicios y vendedores de comercios y mercados,2014,1.42,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Hombres,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",2014,4.21,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Hombres,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,2.28,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Hombres,Operadores de instalaciones y máquinas y ensambladores,2014,1.93,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Hombres,Ocupaciones elementales,2014,1.4,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Mujeres,Total,2014,2.16,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Mujeres,Directores y gerentes,2014,5.14,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Mujeres,Profesionales científicos e intelectuales,2014,2.96,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Mujeres,Técnicos y profesionales de nivel medio,2014,2.78,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Mujeres,Personal de apoyo administrativo,2014,1.94,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Mujeres,Trabajadores de los servicios y vendedores de comercios y mercados,2014,1.46,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Mujeres,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",2014,4.44,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Mujeres,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,1.53,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Mujeres,Operadores de instalaciones y máquinas y ensambladores,2014,1.57,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Bulgaria,Mujeres,Ocupaciones elementales,2014,1.3,Currency: BGR - Euro (EUR),"Repository: Eurostat | Data reference period: October | Economic activity coverage: Excluding agriculture, public administration, and activities of households as employers and of extraterritorial organisations and bodies | Establishment size coverage: All establishments with at least 10 employees"
Switzerland,Total,Total,2014,41.97,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Total,Directores y gerentes,2014,58.37,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Total,Profesionales científicos e intelectuales,2014,59.69,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Total,Técnicos y profesionales de nivel medio,2014,42.76,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Total,Personal de apoyo administrativo,2014,37.81,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Total,Trabajadores de los servicios y vendedores de comercios y mercados,2014,28.13,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Total,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",2014,28.13,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Total,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,30.14,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Total,Operadores de instalaciones y máquinas y ensambladores,2014,32.89,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Total,Ocupaciones elementales,2014,29.36,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Total,Ocupaciones militares,2014,40.35,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Total,No clasificado,2014,39.48,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Hombres,Total,2014,44.53,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Hombres,Directores y gerentes,2014,64.19,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Hombres,Profesionales científicos e intelectuales,2014,61.04,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Hombres,Técnicos y profesionales de nivel medio,2014,46.81,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Hombres,Personal de apoyo administrativo,2014,43.25,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Hombres,Trabajadores de los servicios y vendedores de comercios y mercados,2014,31.8,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Hombres,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",2014,28.18,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Hombres,"Oficiales, operarios y artesanos de artes mecánicas y de otros oficios",2014,30.52,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Hombres,Operadores de instalaciones y máquinas y ensambladores,2014,33.78,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Hombres,Ocupaciones elementales,2014,29.73,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Hombres,Ocupaciones militares,2014,40.5,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Hombres,No clasificado,2014,38.08,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Mujeres,Total,2014,39.05,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Mujeres,Directores y gerentes,2014,46.02,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Mujeres,Profesionales científicos e intelectuales,2014,58.25,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Mujeres,Técnicos y profesionales de nivel medio,2014,38.25,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Mujeres,Personal de apoyo administrativo,2014,34.48,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Mujeres,Trabajadores de los servicios y vendedores de comercios y mercados,2014,26.22,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
Switzerland,Mujeres,"Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros",2014,27.88,Currency: CHE - Euro (EUR),Repository: ILO-STATISTICS - Micro data processing
